date,stock_code,stock_name,pick_price,prev_close,pick_day_change,next_day_change,success
20260202,600666,奥瑞德,4.16,3.45,5.25,5.25,1
20260203,300432,富临精工,19.1,16.94,12.03,12.03,1
20260203,301557,常友科技,87.41,101.06,6.94,6.94,1
20260204,002140,东华科技,9.27,12.43,2.39,2.39,1
20260204,301008,宏昌科技,24.06,35.67,4.1,4.1,1
20260205,001360,南矿集团,18.32,23.32,10.0,10.0,1
20260205,002805,丰元股份,26.56,15.87,4.98,4.98,1
20260206,603368,天秤自控,10.55,11.62,4.29,4.29,1
20260206,603938,三孚股份,75.81,24.76,3.12,3.12,1
20260209,300368,汇金股份,8.36,12.93,1.14,1.14,1
20260209,688008,澜起科技,261.82,172.14,3.78,3.78,1
20260210,000060,中金岭南,7.68,6.93,6.71,6.71,1
20260210,301511,德福科技,155.3,29.13,2.78,2.78,1
20260211,300346,南大光电,78.12,54.22,1.77,1.77,1
20260211,300750,宁德时代,381.0,360.53,2.74,2.74,1
20260212,688521,芯原股份,336.0,257.98,5.0,5.0,1
20260212,920076,国亮新材,12.72,23.65,1.22,1.22,1
20260213,300786,国林科技,23.72,16.63,1.8,1.8,1
20260213,603113,金能科技,4.28,6.89,4.53,4.53,1
20260224,688126,沪硅产业,34.86,20.86,7.46,7.46,1
20260224,688556,高测股份,12.15,14.67,16.31,16.31,1
20260225,300684,中石科技,57.41,56.43,7.15,7.15,1
20260225,603019,中科曙光,98.76,90.75,2.09,2.09,1
20260226,300058,蓝色光标,13.41,17.99,4.06,4.06,1
20260226,300339,润和软件,38.0,49.16,7.53,7.53,1
20260227,002272,川润股份,22.88,18.89,8.78,8.78,1
20260227,002364,中恒电气,53.95,34.7,6.66,6.66,1
20260302,000625,长安汽车,6.86,10.93,3.13,3.13,1
20260302,300900,广联航空,36.3,39.82,1.94,1.94,1
20260303,002108,沧州明珠,4.21,5.04,0.6,0.6,1
20260303,688525,佰维存储,501.05,147.13,20.0,20.0,1
20260304,301622,强一股份,580.0,326.43,20.0,20.0,1
20260304,601908,京运通,2.94,3.91,3.85,3.85,1
20260305,301628,强达电路,108.12,111.77,2.37,2.37,1
20260305,430489,佳先股份,18.69,16.68,1.14,1.14,1
20260306,300552,ST万邦,11.13,16.67,10.02,10.02,1
20260306,688155,先惠技术,74.0,86.09,-3.03,-3.03,0
20260309,301255,通力科技,21.08,26.37,4.69,4.69,1
20260309,430564,天润科技,16.81,26.67,3.27,3.27,1
20260310,002135,东南网架,7.0,6.64,3.9,3.9,1
20260310,300719,安达维尔,11.88,18.36,7.52,7.52,1
20260311,603316,诚邦股份,21.65,16.07,5.94,5.94,1
20260311,688678,福立旺,20.92,17.13,8.88,8.88,1
20260312,002350,北京科锐,13.41,15.13,6.64,6.64,1
20260312,002517,恺英网络,15.6,18.81,5.28,5.28,1
20260313,002960,青鸟智控,8.3,10.87,9.97,9.97,1
20260313,688628,优利德,98.65,41.17,9.75,9.75,1
20260316,600995,南网储能,12.05,14.93,2.69,2.69,1
20260316,601689,拓普集团,52.75,62.53,1.41,1.41,1
20260317,300840,酷特智能,20.7,18.72,3.16,3.16,1
20260317,603937,丽岛新材,13.66,12.94,1.48,1.48,1
20260318,002570,贝因美,4.07,5.72,8.04,8.04,1
20260318,300022,吉峰科技,7.43,8.54,1.63,1.63,1
20260319,300054,鼎龙股份,95.07,46.01,5.51,5.51,1
20260319,603727,博迈科,16.9,17.63,4.17,4.17,1
20260320,300657,弘信电子,43.06,30.24,-0.3,-0.3,0
